Index,Original_Row_Index,TITLE,COMPANY,COMPANY_URL,JOB_DESCRIPTION,REQUIREMENT,LOCATION,SALARY,URL,Data source,Posted_Date,Retrieved_Date,Application_Type
34,33,"Global Banking & Markets, Prime Services, Quantitative Desk Strategist, Associate/ Vice President, Hong Kong",Goldman Sachs,http://www.goldmansachs.com,"In Global Banking and Markets, we help our clients buy and sell financial products around the world, raise funding, and manage risk. Our core value is building strong client relationships and serving our clients. The strategist team applies quantitative and statistical techniques to make data-driven decisions at the intersection of business and engineering, optimizing efficiency, commercial value, risk management, and client services. The Security Lending Strategist Team drives major business decisions in securities lending and financing through data analysis and quantitative modeling, focusing on inventory management, pricing, risk hedging, capital optimization, and more. This role requires innovative thinking, technical expertise, and collaboration across global teams to solve complex business problems.","Strong academic background in a quantitative field (mathematics, physics, engineering, computer science, or statistics); strong programming skills in Python or JavaScript; solid understanding of optimization theory (linear programming, numerical methods, MCMC); interest in data engineering and infrastructure; ability to learn new technical or business concepts quickly; capacity to manage multiple projects and deliver results; strong communication skills; ability to explain technical concepts to non-technical audiences; knowledge of financial markets preferred; understanding of securities lending and one delta products is a plus.",Hong Kong,Not specified,https://higher.gs.com/roles/154783,indeed,06/11/2025,Not specified,Not specified
35,34,Business System Analyst,West Kowloon Cultural District Authority,https://www.westkowloon.hk/en,"The role will collaborate closely with business units, IT teams, and external vendors to ensure the effective delivery and optimisation of a new ERP solution. This role focuses on analysing business processes, enhancing system functionality, and driving integration initiatives to support operational excellence. Key responsibilities include facilitating communication between stakeholders, analysing business and system flows, participating in system development and integration, ensuring proper environment setup, liaising with service providers, conducting testing and change management, providing user training and support, and performing other duties as assigned.","Bachelor’s degree in Computer Science, Information Systems, Business Administration, or equivalent; at least 5 years of experience as an IT Business Analyst or System Analyst; experience with Oracle Fusion (Finance or Procurement module) is an advantage; strong analytical and problem-solving skills; understanding of software development and project management principles; proven vendor management and teamwork abilities; proficiency in spoken and written English and Chinese; Mandarin proficiency is an advantage.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=a3266719544419ff,indeed,06/11/2025,Not specified,Submit application with detailed CV through the recruitment portal before 20-11-2025
36,35,"Assistant Manager, Analytics, Shangri-La Circle (173780)",Renaissance Corporate Services,https://hk.indeed.com/cmp/Renaissance-Corporate-Services,"We are seeking a skilled and proactive Database Assistant Manager/Manager, Analytics to take full ownership of the Shangri-La Circle (SLC) datamart supporting the Shangri-La Circle program. This role is critical in ensuring the integrity, performance, and scalability of our loyalty data infrastructure, enabling data-driven decision-making across the organization. The role will also serve as the key liaison between the Finance ERP team and the Loyalty Program, ensuring a single source of truth for hotel journals related to points earning, redemption, and billing. Key responsibilities include owning and managing the SLC Program Datamart, designing and maintaining ETL pipelines, integrating SLC with ERP for automated hotel journals, fulfilling reporting and billing requirements, and collaborating with teams to ensure accurate data documentation and system integrations.","Bachelor’s degree in computer science, Information Systems, or a related field. 5+ years of experience as a Database Administrator, Data Engineer, Data Analyst, or similar role. Experience in loyalty programs, hospitality, or customer engagement platforms. Understanding of ERP systems (e.g., Oracle, SAP) and journal entry workflows. Strong proficiency in SQL, data warehousing, and ETL tools. Experience with cloud-based data platforms (e.g., Snowflake, BigQuery, Azure Synapse). Familiarity with BI tools and supporting analytics/reporting teams. Knowledge of data modeling, data governance, and data privacy regulations. Strong communication and stakeholder management skills, especially with Finance and IT teams.",HK,Not specified,https://hk.indeed.com/viewjob?jk=3e9b34bf106fd496,indeed,Not specified,Not specified,Not specified
37,36,"Senior Analyst, Financial Systems (16-month contract)",The Walt Disney Company,http://thewaltdisneycompany.com,"The Senior Analyst, Financial System supports Finance users on SAP and coordinates various system testing activities, ensures data integrity of financial data; controls; business efficiency and effectiveness by means of process improvement, automation etc., and supports Manager of Financial Systems for any assigned tasks. Responsibilities include supporting SAP FICO and other financial applications, assisting finance and business projects, conducting requirement studies, system design, quality assurance, user acceptance testing, training, deployment, and managing data integrity between SAP and other systems.","Degree holder in Finance/Computer Science or equivalent. 3 years of experience in SAP FI/CO, MM, SD and BW. Experience in software programming is preferred. Previous exposure to finance, facility maintenance, sales, hospitality, or retail industry is an advantage. Strong interpersonal, communication, and presentation skills. Ability to work with people at different levels and functions.","Lantau Island, NT, HK",Not specified,https://jobs.disneycareers.com/job/lantau-island/senior-analyst-financial-systems-16-month-contract/391/88105264272,indeed,"Nov. 06, 2025",Not specified,Not specified
39,38,Finance Analyst,Pernod Ricard Asia Duty Free Ltd - HKM,https://hk.indeed.com/cmp/Pernod-Ricard-Asia-Duty-Free-Ltd---Hkm,A. Enhance Credit Management: Develop and implement strategies to minimize credit risks while optimizing financial performance; conduct credit portfolio analyses; ensure effective management of accounts receivables with sales team coordination; monitor cash performance. B. Investment Evaluation: Prepare investment reports for senior management; validate sales and promotional targets with sales team; establish and monitor A&D and A&P investment levels. C. Pricing Evaluation: Analyze pricing strategies and product profitability; implement pricing tools for data-driven decisions; monitor market trends for pricing adjustments. D. Enhance Financial Visibility: Monitor compliance with accounting rules and internal guidelines; support teams on financial reporting standards; develop regular KPI reporting. E. Drive IT Transformation: Drive IT and process improvements; support automation and digital tools in finance; promote cross-functional collaboration to streamline workflows.,Degree in business or finance-related field; experience with Salesforce or CRM preferred; experience in pricing and evaluation models; familiarity with RPA tools preferred; proactive problem-solving mindset; strong collaboration and teamwork skills; high competency in spoken and written English and Chinese.,"Tsim Sha Tsui, KOW, HK",Not specified,https://hk.indeed.com/viewjob?jk=74eb1d6d01257b28,indeed,06/11/2025,Not specified,Not specified
40,39,"Director, Client Insights Analytics",HSBC,https://www.hsbc.com,"The role involves leading the Client & Banking Analytics (CBA) team within HSBC’s Corporate and Institutional Banking (CIB) division, focusing on generating strategic, data-driven insights to enhance client understanding, competitive positioning, and commercial performance. The Director will integrate internal and external data sources (e.g., Omnia, CME, Coalition Greenwich, Dealogic, Voice of the Client, NPS) to deliver actionable insights across the client journey. Key responsibilities include defining the client insights strategy, managing external market data, driving data integration, engaging senior stakeholders, building cross-CIB analytics synergies, and leading a global analytics team to support CIB’s strategic goals.","Leadership experience in data analytics, client insights, or market intelligence within corporate/institutional banking; deep knowledge of CIB business models and market data providers; expertise in data integration (Omnia, CME, NPS tools); proficiency with visualization tools (Tableau, Power BI); strong stakeholder management and communication skills; strategic execution and innovation capabilities; leadership in team development; inclusive mindset. A Bachelor's or Master's degree in Business, Finance, Economics, or Data Science is preferred. Familiarity with financial metrics (RWA, RoRWA, RoTE) and client-facing experience are advantageous.","Central, HKI, HK",Not specified,https://apply.careers.hsbc.com/job/Central-Director%2C-Client-Insights-Analytics-Hong/1331385257/?feedId=417557&utm_source=Indeed&utm_campaign=HSBC_Indeed,indeed,05/11/2025,Not specified,Online
42,41,Cloud Intelligence Group-Business Development Manager (Web3)-Hong Kong,Alibaba,http://alibaba.com,"1. Customer Relationship Establishment & Business Opportunity Expansion: Proactively gain insights into the Web3 industry, identifying potential customers such as cryptocurrency exchanges, HFT firms, and crypto institutions; build business pipelines and maintain long-term partnerships with key decision-makers. 2. Product & Technological Value Delivery: Communicate the technical and business value of Alibaba Cloud’s core products and AI/ML services to customers. 3. Decision-Making Promotion & Business Opportunity Conversion: Drive customer adoption through sales strategies and internal resource coordination. 4. Business Support: Provide full lifecycle support, ensure project success, and support product iteration.","Bachelor's degree in computer science/engineering or equivalent field. Minimum 5 years of experience in technology-related business development or sales. Strong understanding of Web3 and public cloud. Proven sales performance and market expansion experience, preferably in APAC. Familiarity with financial services and public cloud computing. Proficiency in Mandarin required. Experience in overseas markets and Web3 sector preferred.",Hong Kong,Not specified,https://careers.aliyun.com/en/off-campus/position-detail?positionId=2000070902&track_id=SSP1762736660634sSCWVaINrv9933,indeed,05/11/2025,Not specified,Not specified
43,42,AVP - Team Administrator APAC,Tradeweb,https://www.tradeweb.com,"Tradeweb is seeking a highly organised, proactive, and personable Team Administrator to provide comprehensive administrative and operational support to the Senior Management Team and wider APAC business. Key responsibilities include executive and team support (diary management, travel coordination, expense processing, presentation preparation), office and operations management (handling administrative tasks, coordinating with vendors, managing office supplies), and people and culture support (onboarding assistance, coordinating employee events). The role is critical to ensuring smooth regional operations and fostering an efficient, collaborative office environment.","Minimum of 3 years’ experience in an administrative or team assistant role, ideally supporting senior leaders. Experience in financial services or a corporate environment preferred. Strong attention to detail, proficiency in Microsoft Office, excellent organisational and multitasking skills, proactive mindset, strong interpersonal and communication skills, and ability to handle confidential information.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=ac530bc227b0f794,indeed,05/11/2025,Not specified,Not specified
44,43,"Product Pricing, Senior Principal (Associate Director)",AIA Australia,http://www.aia.com.au,"As a member of the Product Pricing Leadership Team, support the Head of Product Pricing to drive sustainable and profitable growth of new business in one or multiple product lines. Key responsibilities include leading research and development, setting assumptions and modeling approaches, developing and evolving pricing strategies, monitoring financial performance, collaborating with cross-functional teams, influencing product development, and supporting senior management in key discussions and regulatory projects.","Qualified Actuary with at least 10 years of progressive experience in life insurance, reinsurance, or consultancy; strong understanding of various product lines including Par saving, critical illness, medical, universal life, and retirement products; deep expertise in assumption setting, asset/liability modeling, ALM, investment, capital management, and valuation; strong stakeholder engagement, influencing, and negotiation skills; awareness of economic, regulatory, and commercial environments; proficient in English; Cantonese/Mandarin is a plus.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=f7c9923f49c01da6,indeed,05/11/2025,Not specified,Not specified
45,44,2026 Markets Quantitative Research Program - Summer Associate - Hong Kong,JPMorganChase,https://www.jpmorganchase.com/,"Join our internship program in Hong Kong and collaborate with top professionals to promote innovation in financial engineering and risk management. Over 6 months, you'll develop mathematical models and tools, gaining insights into risk modeling and investment banking. With project work, mentorship, and speaker series, you'll receive support for your growth. Successful completion may lead to full-time offers in Corporate and Investment Bank Quantitative Research at J.P. Morgan, a leader in financial engineering and data analytics. The role includes responsibilities in Commercial & Investment Quantitative Research and Data Analytics, involving model development, algorithmic trading strategies, risk assessment, software implementation, and applying machine learning techniques to drive business innovation.","Currently enrolled in Ph.D. or Master’s degree in Mathematics, Physics, Engineering, Computer Science, Machine Learning, Statistics or other quantitative fields; proficiency in programming languages such as Python, Java, C++, or C#; strong quantitative, problem-solving, and research skills; ability to communicate technical concepts to non-technical audiences; expected graduation beyond December 2026. Preferred qualifications include knowledge of financial modeling mathematics, options pricing theory, trading algorithms, or financial regulations.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=fc526e522fb2873a,indeed,05/11/2025,Not specified,Online application including resume submission and required HackerRank coding test
46,45,Data Entry Clerk (Temporary) (Ref. No.: PMSA-DEC-33/25),Property Management Services Authority,https://www.pmsahk.org.hk/en/index.html,"Reporting to the Senior Manager (Complaints and Enforcement) or Senior Manager (Licensing), the appointee will transfer data from hard copy to a digital database, review data for deficiencies or errors, assist with license applications or complaints requiring extensive data entry, provide occasional clerical and administrative support, and undertake ad-hoc tasks as assigned.","HKCEE / HKDSE or above in any discipline; accurate and efficient data input; good typing skills in both Chinese and English; well organized, detail-minded, hardworking, and highly responsible; familiarity with Microsoft Excel functions and formulas is preferred; immediate availability is highly preferred.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=21bdc1146fc447cc,indeed,05/11/2025,Not specified,"Submit CV by email or mail, stating position (with reference number), current and expected salary, to the Manager (Administration and Resources Management) by 4 December 2025"
47,46,Major Bank: IT Business Analysts (Anti-Money Laundering),IT Solutions Ltd.,https://hk.indeed.com/cmp/IT-Solutions-Ltd.,"We are searching on behalf of a Major Bank for a number of high-calibre IT Business Analysts to work on data analysis of Anti-Money Laundering (AML) related systems and projects. Responsibilities include performing business analysis and user requirement studies, working closely with business users and developers to ensure effective project implementation, managing IT project implementation, and conducting User Acceptance Test.","Degree in Finance or Business Admin or Computer Science or related disciplines; at least 2 years working experience in Business Analyst / IT Project Management; good presentation skill, written and verbal communication in English and Chinese (Cantonese & Mandarin); experience in banking / financial industry is a big plus; knowledge in risk, regulatory or AML is an advantage.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=a27d051e282c4c90,indeed,05/11/2025,Not specified,Send resume in MS Word format to the company via email (email address redacted)
48,47,Database Administrator,TS Imagine,https://tsimagine.com/,"TS Imagine is seeking a Database Administrator to manage and engineer its global Relational Database solutions, ensure data integrity, support mission-critical database services, troubleshoot issues, collaborate with teams to enhance systems, automate processes, and communicate with business leaders up to the CTO. The ideal candidate will be a proactive learner, effective communicator, and strong team player in a global, distributed environment.","4+ years of experience as a Database Administrator in a production environment; excellent knowledge of MySQL or MariaDB; exposure to other databases such as Sybase, MongoDB, Postgres, or MSSQL; experience in database management, performance tuning, replication, installation, migration, upgrades, backups, restores, HA/DR; proficiency in stored procedures and SQL writing; UNIX scripting skills (bash, ksh, perl, or ruby); understanding of production change management; knowledge of supporting Java applications is an advantage; experience with on-call weekend support.","Hong Kong, HK",Not specified,https://hk.indeed.com/viewjob?jk=ff0bb8e2660270ee,indeed,05/11/2025,Not specified,Not specified
49,48,"Business Analyst, Digital",Sun Life,https://www.sunlife.com,"Business Analyst / Subject Matter Expert accountable for analyzing business problems, solving them and developing a prioritized backlog of requirements based on business value. Collaborate with Product Owners and stakeholders to understand challenges, define requirements, and deliver product vision. Work within Agile teams to translate business needs into user stories and ensure successful development and implementation.","6+ years’ experience as a Business Analyst in large IT projects or organizations; minimum 5 years in the insurance industry; proven experience as a Business/Functional SME, Product Owner, or BA; knowledge of insurance products, digital journeys, SDLC, and Agile methodologies (JIRA, Confluence); ability to work in Agile, Hybrid, or Waterfall environments; strong communication, negotiation, and analytical skills; proficient in spoken and written English and Chinese; university graduate or above.","Hung Hom, KOW, HK",Not specified,https://hk.indeed.com/viewjob?jk=008ce0c2af5653ce,indeed,05/11/2025,Not specified,Not specified
50,49,Product Specialist (Digital Advertising System) (Sales and Marketing),AsiaPac Net Media Ltd,https://hk.indeed.com/cmp/Asiapac-Net-Media-Ltd,"Develop and implement go-to-market strategies for new and existing features of the AI marketing SaaS platform (OptAdEasy, KOOLER AI, Kolsify, APHub), aligned with business goals. Establish and foster trusted relationships with business partners and direct clients. Support business development team with technical product knowledge and customer-facing sales materials. Design and update product sales packages, pricing models, and onboarding flows. Lead onboarding, training, and coaching for customer service and sales teams. Monitor team performance and provide feedback to improve sales conversion rates. Gather user feedback and usage trends to inform product development.","Degree or above. 2+ years of experience in SaaS product marketing or media agency, with hands-on experience in performance marketing platforms, product specialist, business development, or sales roles. Passion for digital marketing technology and interest in developing industry-leading systems. Proficient in Cantonese, Mandarin, and English (written and oral). Strong coordination and communication skills.",HK,Not specified,https://hk.indeed.com/viewjob?jk=fd575303e3c8c421,indeed,05/11/2025,Not specified,Apply through the “Apply Now” button with full resume and expected salary
51,50,IT Lead (Database) (Ref:IT-INT-SI-ITLD-CT),"The Hongkong Electric Co., Ltd.","https://hk.indeed.com/cmp/The-Hongkong-Electric-Co.,-Ltd.","Reporting to the Principal IT Lead, the appointee will serve as a Subject Matter Expert for database technologies, oversee database design and optimization, lead database administrators, drive strategic planning and lifecycle management of enterprise database systems, and collaborate with IT teams for system integration.","Bachelor’s Degree in Computer Science, Information Systems or related disciplines; minimum 8 years’ experience in database administration with at least 3 years in a leadership or SME role; strong expertise in Oracle, Microsoft SQL Server, and MongoDB; experience in virtualization platforms, server OS, backup and monitoring tools is desirable; certifications in ITIL, PMP, Oracle or Microsoft SQL are an advantage; strong analytical and problem-solving skills; good command of English and Chinese, both spoken and written.","Admiralty, HK",Not specified,https://hk.indeed.com/viewjob?jk=5ef88893aee56ca6,indeed,05/11/2025,Not specified,"Send resume in PDF format with details of qualification, experience, present and expected salaries, and contact number to HR via company website before 19 November 2025, quoting the reference number."
52,51,Quantitative Analyst / Trainee,CT Risk Solutions Limited,https://hk.indeed.com/cmp/Ct-Risk-Solutions-Limited,"Assist in developing financial models and analytical tools using advanced financial concepts and numerical methods; support implementation and maintenance of quantitative trading processes; manage and analyze large, complex datasets with statistical techniques; generate routine reports for local and regional management to evaluate brand performance and support business decisions; stay updated on developments in quantitative risk management.","Degree in engineering, mathematics, finance, or computing preferred; knowledge of analytics and decision science including regression, classification, time series forecasting, neural networks, clustering; strong programming skills in VBA, Java, C++, SQL Server, and MS Excel; familiarity with technology for solving analytical problems; good interpersonal, communication, and language skills in English, Cantonese, and Mandarin; financial services experience preferred but not required.",HK,Not specified,https://hk.indeed.com/viewjob?jk=b766e11afd0f258f,indeed,05/11/2025,Not specified,"Send application letter, CV, current and expected salary via Company website or via CTgoodjobs Apply Now"
53,52,"Analyst, Specialist, Data Management & Governance",DBS Bank,https://www.dbs.com/careers/default.page,"As the leading bank in Asia, Transformation & Data supports our management on the implementation of the Group’s agenda. Data Management & Governance, organised under Transformation & Data, is the implementation of enabling infrastructures, policies, practices and procedures that allow the organisation to manage the end-to-end lifecycle of data. Key Responsibilities: Support the development of standards, controls, procedures, and accountability frameworks for data governance implementation across the organization; support adherence to the organization’s data governance framework and monitoring; track emerging data regulations and trends, conduct gap analyses, and maintain a compliant and contemporary data governance program; support tracking initiatives to address data issues and ensure effective data management practices.","Degree in Information Systems, Computer Science or Engineering or related discipline; 0-3 years of experience in data management, data governance, data analytics or project management roles; knowledge in programming with Python; strong analytical and problem-solving skills; excellent communication and organisational skills; a can-do mindset and the ability to work independently and as part of a team.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=17f180f1dcb9abf1,indeed,04/11/2025,Not specified,Not specified
54,53,Business Analyst / Application Consultant Trainee,Eastop Computer Consultants Limited,https://hk.indeed.com/cmp/Eastop-Computer-Consultants-Limited,"Work with Project Manager to deploy ERP System to customers; Develop project documents such as user requirement specifications and UAT plan; Support production migration/verification, post-implementation review and production problem solving; Provide support service to customers via telephone and email; Support any ad hoc events/activities assigned by supervisor.","Higher Diploma holder or above in BA/Management/Information Technology/Computer Science/Science/Accounting discipline or related; Knowledge of MS SQL, Fast Report, PHP, .net, JavaScript etc. programming language is an advantage; Experience in enterprise software (ERP) is an advantage; Self-motivated with good analytical and problem-solving skills; Good command of spoken and written English, Cantonese, and Mandarin; Strong communication, interpersonal and presentation skills; Detail-minded and able to handle multi-tasking; Immediate availability is an advantage; Fresh graduates or candidates with less experience will be considered as Application Consultant Trainee.","Kowloon Bay, KOW, HK",Not specified,https://hk.indeed.com/viewjob?jk=72a78c8bcd6c7294,indeed,04/11/2025,Not specified,"Email your full resume with the position clearly stated in the subject line, including recruitment channel, present and expected salary, to recruit@eastop.com"
55,54,"Analyst, Digital Marketing",AXA,https://hk.indeed.com/cmp/AXA,"Develop engaging advertising content across digital platforms, execute paid digital campaigns, track and report on performance metrics, and support team operations. Collaborate with designers, agencies, and KOLs to ensure brand consistency and campaign effectiveness. Optimize content based on analytics insights and contribute to brainstorming and innovation.",Bachelor's degree in Marketing or related field; strong bilingual writing skills in Chinese/Cantonese and English; understanding of Hong Kong’s KOL and social media landscape; collaborative mindset; experience in digital marketing or finance/insurance industry is a plus; familiarity with Google Analytics preferred.,HK,Not specified,https://careers.axa.com/jobs/11603/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f,indeed,04/11/2025,Not specified,Not specified
56,55,Assistant Vice President - Data Services (Business Analyst/Project Management) - Data Business,Hong Kong Exchange,https://www.hkex.com.hk/?sc_lang=en,"This is an exciting opportunity to join the Data Business department and play a role in delivering data-related initiatives. The Platform Solutions team is responsible for planning and delivering solutions that align with the business and the exchange. The successful applicant will support platform development and project management, requiring a blend of business and technical expertise. Key responsibilities include gathering business requirements, conducting business and technical analysis, managing end-to-end projects, preparing project proposals, performing risk management, and collaborating across teams on market data projects and business strategy.","Degree in IS, Finance, or Business; 6+ years of experience as a Business Analyst or Project Manager, preferably in Banking, Brokerage, or FinTech; good understanding of financial products, trading lifecycle, database and system architecture; proven project management skills across the full project lifecycle; strong communication and stakeholder management skills; self-starter with an innovative mindset; proficiency in English and Cantonese (Mandarin is a plus).",Hong Kong,Not specified,https://hkex.wd3.myworkdayjobs.com/en-US/HKEXCareerPage/job/HK-TWO-ES-34F/Assistant-Vice-President---Data-Services--Business-Analyst-Project-Management----Data-Business_R003209,indeed,04/11/2025,Not specified,Not specified
57,56,"Analyst, Digital Marketing",AXA,http://careers.axa.com/global/en,"Develop engaging advertising content across digital platforms, execute paid digital campaigns, monitor and report on campaign performance, and support team operations. Collaborate with designers, agencies, and KOLs to ensure brand consistency and campaign effectiveness.","Bachelor's degree in Marketing or related field; strong bilingual writing skills in Chinese/Cantonese and English; understanding of Hong Kong’s KOL and social media landscape; experience in digital marketing or content creation preferred; familiarity with Google Analytics is a plus; open-minded, collaborative, and passionate about digital innovation.","Wong Chuk Hang, HKI, HK",Not specified,https://hk.indeed.com/viewjob?jk=a2337962ed6d9d75,indeed,04/11/2025,Not specified,Not specified
58,57,Transformation & Analytics Lead,Standard Chartered Bank,http://www.sc.com/careers,"As a strategic and result-driven leader in operational excellence and change management delivery, collaborate with stakeholders across Operations, Business, and Group functions to provide timely analysis and MIS reports. Ensure successful implementation of systems and projects, uphold regulatory compliance, and foster a collaborative, inclusive work environment aligned with the bank’s values and code of conduct.","Bachelor’s degree in Computer Science, Information Technology, Statistics or related fields; at least 10 years of experience in data analytics with hands-on skills in SAS, SQL, Python, Tableau, and Power BI; proficiency in English, Cantonese, and Mandarin; experience in project, process, and change management; knowledge of automation delivery and CDD is advantageous; strong problem-solving, multitasking, and independent working abilities.","Kwun Tong, KOW, HK",Not specified,https://jobs.standardchartered.com/job/Kwun-Tong-Transformation-&-Analytics-Lead/1331196657/?feedId=363857&utm_source=CareerSite,indeed,04/11/2025,Not specified,Not specified
59,58,"Senior Manager, Data Analytics",Prudential Plc,http://www.pru.co.uk/careers-at-pru/,"This role leverages data analytics to provide actionable insights to stakeholders across functions such as Marketing and Distribution. The successful candidate will identify opportunities for growth, customer acquisition, and retention while fostering a data-driven culture throughout the organization. Key responsibilities include leading deep-dive analyses across customer segments, channels, and products; analyzing customer behavior and market dynamics; translating complex data into strategic recommendations; leveraging advanced analytics for behavioral insights; implementing innovative analytical methodologies; collaborating with external partners on analytics solutions; and monitoring industry trends to recommend data-driven initiatives.","Bachelor’s degree in Business Analytics, Decision Science, Mathematics, Statistics, or a related field; Master’s degree preferred. Minimum of 12 years’ experience in analytics, business intelligence, or strategy roles with a strong focus on insight generation and business impact. Knowledge in insurance and financial services is highly preferred. Proven track record in deep-dive analysis and advanced analytics. Hands-on experience in data handling, transformation, and advanced analytics techniques. Demonstrated expertise in statistical analysis and translating data into business insights. Exceptional communication and presentation skills. Innovative mindset with a passion for driving measurable business outcomes.",Hong Kong,Not specified,https://prudential.wd3.myworkdayjobs.com/en-US/prudential/job/Hong-Kong/Senior-Manager--Data-Analytics_25100406,indeed,04/11/2025,Not specified,Not specified
60,59,Data Annotator - English Audio Transcription Project,CHEMIN,https://hk.indeed.com/cmp/Chemin,"Chemin, TDCX’s AI-focused subsidiary, is offering a remote gigwork opportunity for English-fluent individuals to contribute to cutting-edge AI projects in partnership with a major gaming industry player. As a Data Annotator, you will listen to short audio clips and perform segmentation by speaker, tagging of language and accent, and transcription of spoken English into written text. Your work will enhance the accuracy of AI models. Training and support are provided. This task-based role requires high attention to detail, strong English fluency, and reliable internet access. The project runs from November 2025 to January 2026, with flexible hours and no earnings cap.","Strong English fluency (C1 level or higher), prior experience in English writing, access to a laptop or desktop with stable internet, precision and attention to detail, ability to learn quickly, efficient time management. Completion of pre-assessment training is required. Bonus points for experience in transcription/data annotation or academic background in STEM, Social Sciences, Psychology, Linguistics, or Humanities.",Remote,Up to $3 USD per accepted task,https://apply.workable.com/j/283A2C6374,indeed,04/11/2025,Not specified,Complete pre-assessment training via the job URL
62,61,"AVP/ VP, Head of Digital and Data",FWD Insurance,https://www.fwd.com.ph/en/,"Provide visionary leadership for the Digital and Data Department, driving enterprise-wide digital transformation and innovation. Direct the development and execution of digital strategy, product management, data and AI initiatives, and digital experience, ensuring alignment with business objectives and regulatory standards. Champion emerging technologies like AI to enhance efficiency, customer experience, and growth. Oversee digital transformation, product portfolio, data governance, AI adoption, UX/UI, and performance metrics. Represent the company in industry forums and stay current on insurtech trends and regulations.","Senior leadership experience in digital transformation, digital product management, data science, and AI within insurance or financial services. Proven track record managing cross-functional teams and enterprise-wide initiatives. Experience in governance, compliance, risk management, and ethical AI. Bachelor’s degree or above in Computer Science, IT, Data Science, Business Administration, or related field; advanced degree preferred. Minimum 20 years of work experience, with at least 10 years in digital transformation, data/AI, or tech leadership, and 5 years in senior management in insurance/financial services. Expertise in digital strategy, product management, analytics, AI (including generative AI), and UX/UI. Strong understanding of insurance operations, regulations, and trends. Ability to translate business needs into tech solutions.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=b533165985e5a87c,indeed,04/11/2025,Not specified,Not specified
63,62,"Technical Business Analyst, Regulatory Reporting - Associate",BNP Paribas,http://www.group.bnpparibas,"The role involves gathering and analyzing complex business requirements for regulatory reporting, supporting the development and testing of the in-house Flexel platform, providing Level 3 production support, and contributing to data modeling, system design, and process automation. The candidate will work within the APAC Finance & Risk Solutions team to strengthen regulatory reporting across the region, ensuring compliance with evolving regulations through technology and innovation.","Degree in Computer Science, Information Systems or related field; minimum 5 years’ experience in banking/financial industry with exposure to regulatory/financial reporting; strong SQL, PL/SQL, database design, and data modeling skills (Oracle preferred); proficiency in Java/C# and scripting languages (Python, Shell); experience with Agile/Scrum, SDLC, ETL, DevOps/CI-CD; knowledge of data structures, enterprise architecture, and regulatory frameworks (Basel III/IV, IFRS 9) is a plus; fluency in English with strong communication skills.",Hong Kong,Not specified,https://group.bnpparibas.en/careers/job-offer/technical-business-analyst-regulatory-reporting-associate,indeed,04/11/2025,Not specified,Not specified
64,63,"Business Analyst, Regulatory Reporting - Associate",BNP Paribas,http://www.group.bnpparibas,"The role involves gathering complex accounting and business requirements, performing data analysis, supporting system testing (SIT & UAT), preparing technical documentation, automating regulatory reporting processes using the Flexel platform, providing level 3 application support, and contributing to process reengineering and platform development. The candidate will also assist in project management tasks including stakeholder communication, coordination, and project documentation. The position is part of APAC F&R's Local Regulatory Reporting team focused on strengthening regulatory reporting across APAC with a user-friendly in-house platform supporting over 700 reports across 9 countries.","Degree in Accounting, Computer Science, Information Systems or related field; minimum 5 years’ experience in banking/financial industry with exposure to finance/risk/IT and regulatory/financial reporting; knowledge of Basel III/IV, IFRS 9, and compliance frameworks; strong understanding of accounting, banking products, and front-to-back systems; proven experience with SQL, Python, Alteryx, Excel, or other data transformation tools; project management experience; fluency in English; analytical mindset; ability to work under pressure; PMP, Agile/Scrum certification or professional qualifications (CPA/CFA) are preferred.",HK,Not specified,https://hk.indeed.com/viewjob?jk=d236c631170d1f42,indeed,04/11/2025,Not specified,Not specified
